	10YQR00FX001XQ02	10YCR00FX001XQ02	10YQR00FX901XQ02
			
			
26.09.2012 02:40:00.000	99.3537666666667	99.2137533333333	100.05436
26.09.2012 02:40:10.000	99.3568533333333	99.2014966666667	100.032553333333
26.09.2012 02:40:20.000	99.3455	99.1851566666667	100.041063333333
26.09.2012 02:40:30.000	99.3219166666667	99.21784	99.7373866666667
26.09.2012 02:40:40.000	99.2717933333333	99.20966	100.007713333333
26.09.2012 02:40:50.000	99.26896	99.18924	100.144196666667
26.09.2012 02:41:00.000	99.2950033333333	99.2014966666667	100.47256
26.09.2012 02:41:10.000	99.31561	99.21784	100.44851
26.09.2012 02:41:20.000	99.3121833333333	99.19742	100.40878
26.09.2012 02:41:30.000	99.30161	99.1912833333333	99.8641533333333
26.09.2012 02:41:40.000	99.2607733333333	99.1545166666667	99.77841
26.09.2012 02:41:50.000	99.2486166666667	99.11774	99.7599533333333
26.09.2012 02:42:00.000	99.2382166666667	99.15656	99.94345
26.09.2012 02:42:10.000	99.2305	99.1320566666667	99.9067133333333
26.09.2012 02:42:20.000	99.2446366666667	99.1708666666667	100.0166
26.09.2012 02:42:30.000	99.23029	99.1014066666667	100.170043333333
26.09.2012 02:42:40.000	99.2374666666667	99.1156966666667	100.21906
26.09.2012 02:42:50.000	99.22858	99.11774	100.289696666667
26.09.2012 02:43:00.000	99.27159	99.14227	99.8971033333333
26.09.2012 02:43:10.000	99.3052066666667	99.1688166666667	100.018146666667
26.09.2012 02:43:20.000	99.24659	99.15249	100.04925
26.09.2012 02:43:30.000	99.2814133333333	99.17495	99.95835
26.09.2012 02:43:40.000	99.2616466666667	99.15656	100.195816666667
26.09.2012 02:43:50.000	99.3147633333333	99.1442966666667	100.15139
26.09.2012 02:44:00.000	99.3138833333333	99.19537	100.209316666667
26.09.2012 02:44:10.000	99.3101966666667	99.1831133333333	100.06376
26.09.2012 02:44:20.000	99.2908533333333	99.11774	100.0167
26.09.2012 02:44:30.000	99.29061	99.18107	100.259253333333
26.09.2012 02:44:40.000	99.3384833333333	99.1586033333333	100.040453333333
26.09.2012 02:44:50.000	99.3292233333333	99.1851566666667	99.92479
26.09.2012 02:45:00.000	99.2957833333333	99.1402166666667	100.22281
26.09.2012 02:45:10.000	99.35787	99.14838	100.121053333333
26.09.2012 02:45:20.000	99.3156733333333	99.1831133333333	100.047356666667
26.09.2012 02:45:30.000	99.2952133333333	99.18924	100.100226666667
26.09.2012 02:45:40.000	99.3058933333333	99.1912833333333	100.094383333333
26.09.2012 02:45:50.000	99.3209133333333	99.13614	100.090666666667
26.09.2012 02:46:00.000	99.2771166666667	99.15656	100.207113333333
26.09.2012 02:46:10.000	99.2997166666667	99.1667733333333	100.236603333333
26.09.2012 02:46:20.000	99.3147366666667	99.1769766666667	100.1872
26.09.2012 02:46:30.000	99.2628266666667	99.1402166666667	100.06879
26.09.2012 02:46:40.000	99.2219	99.1157133333333	100.148446666667
26.09.2012 02:46:50.000	99.2106033333333	98.9768	100.192773333333
26.09.2012 02:47:00.000	99.2625666666667	99.1606433333333	100.058903333333
26.09.2012 02:47:10.000	99.2493333333333	99.1463533333333	100.079053333333
26.09.2012 02:47:20.000	99.2194733333333	99.1381833333333	99.95507
26.09.2012 02:47:30.000	99.2191666666667	99.10958	99.8990966666667
26.09.2012 02:47:40.000	99.1957766666667	99.0442133333333	99.80389
26.09.2012 02:47:50.000	99.1640366666667	99.0380766666667	99.86111
26.09.2012 02:48:00.000	99.1346033333333	99.0299066666667	99.9273433333333
26.09.2012 02:48:10.000	99.1379866666667	99.04217	100.235946666667
26.09.2012 02:48:20.000	99.1930566666667	99.0993666666667	99.9953033333333
26.09.2012 02:48:30.000	99.1936533333333	99.04624	99.86281
26.09.2012 02:48:40.000	99.21465	99.1218333333333	99.9753333333333
26.09.2012 02:48:50.000	99.2113933333333	99.07894	99.98741
26.09.2012 02:49:00.000	99.2202466666667	99.13409	100.170923333333
26.09.2012 02:49:10.000	99.1711433333333	99.0523766666667	99.95132
26.09.2012 02:49:20.000	99.2069566666667	99.00948	100.203313333333
26.09.2012 02:49:30.000	99.20157	99.0605466666667	100.258536666667
26.09.2012 02:49:40.000	99.17557	99.05646	99.8939933333333
26.09.2012 02:49:50.000	99.1877533333333	99.0707666666667	100.026813333333
26.09.2012 02:50:00.000	99.1899833333333	99.0748533333333	100.100473333333
26.09.2012 02:50:10.000	99.2264966666667	99.0830166666667	100.27085
26.09.2012 02:50:20.000	99.2221766666667	99.0911866666667	100.113696666667
26.09.2012 02:50:30.000	99.2016833333333	99.0809733333333	99.91954
26.09.2012 02:50:40.000	99.2018133333333	99.0871	99.9089933333333
26.09.2012 02:50:50.000	99.1542466666667	99.09528	99.74581
26.09.2012 02:51:00.000	99.1473066666667	99.03195	99.6010833333333
26.09.2012 02:51:10.000	99.16578	99.0503333333333	99.63601
26.09.2012 02:51:20.000	99.08881	98.9604566666667	99.6667333333333
26.09.2012 02:51:30.000	99.10232	99.0033533333333	99.833
26.09.2012 02:51:40.000	99.0879633333333	98.8889566666667	99.9905766666667
26.09.2012 02:51:50.000	99.1245433333333	99.0135733333333	99.9666
26.09.2012 02:52:00.000	99.1018633333333	98.9563633333333	99.9961166666667
26.09.2012 02:52:10.000	99.13002	98.97884	100.007773333333
26.09.2012 02:52:20.000	99.1134766666667	98.9420733333333	99.9291833333333
26.09.2012 02:52:30.000	99.06902	98.9441166666667	99.9198566666667
26.09.2012 02:52:40.000	99.1094233333333	98.97067	99.8759366666667
