KKSBusher	KKSNVnpp	name	Unit
12YAS41CT008AXQ1	12JEC41CT704XQ01	T hot leg 4-th loop 2k. 1ch.	oC
12YAS41CT008BXQ1	12JEC41CT705XQ01	T hot leg 4-th loop 2k. 2ch.	oC
12YAS41CT008CXQ1	12JEC41CT706XQ01	T hot leg 4-th loop 2k. 3ch.	oC
11YCS00FX002AXQ4	10JKT10FX711XQ02	N NFME 1k. 1ch.	%
11YCS00FX002BXQ4	10JKT20FX711XQ02	N NFME 1k. 2ch.	%
11YCS00FX002CXQ4	10JKT30FX711XQ02	N NFME 1k. 3ch.	%
12YCS00FX002AXQ4	10JKT40FX711XQ02	N NFME 2k. 1ch.	%
12YCS00FX002BXQ4	10JKT50FX711XQ02	N NFME 2k. 2ch.	%
12YCS00FX002CXQ4	10JKT60FX711XQ02	N NFME 2k. 3ch.	%
10YAR00FX001XQ02	10JEC00FU001XQ02	N reactor (1Й)	%
10RLR00FX903XQ02	10LAB00FU001XQ02	N reactor (2Й)	%
11YQS01CT001XQ01	11JAA11CT701XQ01	ро-3	oC
11YQS01CT002XQ01	11JAA11CT702XQ01	ро-1ю	oC
11YQS01CT003XQ01	11JAA11CT703XQ01	ро-1б	oC
11YQS01CT004XQ01	11JAA11CT704XQ01	ро-3	oC
11YQS02CT001XQ01	11JAA11CT711XQ01	ро-1ю	oC
11YQS02CT002XQ01	11JAA11CT712XQ01	ро-1б	oC
11YQS02CT003XQ01	11JAA11CT713XQ01	ря ймхр	oC
11YQS02CT004XQ01	11JAA11CT714XQ01	ро-3	oC
11YQS03CT001XQ01	11JAA11CT721XQ01	ро-1ю	oC
11YQS03CT002XQ01	11JAA11CT722XQ01	ро-1б	oC
11YQS03CT003XQ01	11JAA11CT723XQ01	ро-3	oC
11YQS03CT004XQ01	11JAA11CT724XQ01	ро-1ю	oC
11YQS04CT001XQ01	11JAA11CT731XQ01	ро-1б	oC
11YQS04CT002XQ01	11JAA11CT732XQ01	ря ймхр	oC
11YQS04CT003XQ01	11JAA11CT733XQ01	ро-3	oC
11YQS04CT004XQ01	11JAA11CT734XQ01	ро-1ю	oC
11YQS05CT001XQ01	11JAA11CT741XQ01	ро-1б	oC
11YQS05CT002XQ01	11JAA11CT742XQ01	ро-3	oC
11YQS05CT003XQ01	11JAA11CT743XQ01	ро-1ю	oC
11YQS05CT004XQ01	11JAA11CT744XQ01	ро-1б	oC
11YQS06CT001XQ01	11JAA11CT751XQ01	ря ймхр	oC
11YQS06CT002XQ01	11JAA11CT752XQ01	ро-3	oC
11YQS06CT003XQ01	11JAA11CT753XQ01	ро-1ю	oC
11YQS06CT004XQ01	11JAA11CT754XQ01	ро-1б	oC
11YQS07CT001XQ01	11JAA11CT761XQ01	ро-3	oC
11YQS07CT002XQ01	11JAA11CT762XQ01	ро-1ю	oC
11YQS07CT003XQ01	11JAA11CT763XQ01	ро-1б	oC
11YQS07CT004XQ01	11JAA11CT764XQ01	ря ймхр	oC
11YQS08CT001XQ01	11JAA11CT771XQ01	ро-3	oC
11YQS08CT002XQ01	11JAA11CT772XQ01	ро-1ю	oC
11YQS08CT003XQ01	11JAA11CT773XQ01	ро-1б	oC
11YQS08CT004XQ01	11JAA11CT774XQ01	ро-3	oC
11YQS09CT001XQ01	11JAA12CT701XQ01	ро-1ю	oC
11YQS09CT002XQ01	11JAA12CT702XQ01	ро-1б	oC
11YQS09CT003XQ01	11JAA12CT703XQ01	ря ймхр	oC
11YQS09CT004XQ01	11JAA12CT704XQ01	ро-3	oC
11YQS10CT001XQ01	11JAA21CT701XQ01	ро-1ю	oC
11YQS10CT002XQ01	11JAA21CT702XQ01	ро-1б	oC
